"x","","variables","values"
"386","","",""
"384","","gamma","0.9"
"382","","",""
"385","","n","=COUNT(A2:A1000)"
"382","","xbar","=AVERAGE(A2:A1000)"
"369","","s","=STDEV.S(A2:A1000)"
"365","","SE","=D7/SQRT(D5)"
"380","","cumulative","=D3+(1-D3)/2"
"381","","tstar","=T.INV(D9,D5-1)"
"365","","ME","=D10*D8"
"392","","LB","=D6-D11"
"373","","UB","=D6+D11"
"386","","",""
"374","","",""
"373","","",""
"386","","",""
"353","","",""
"375","","",""
"359","","",""
"367","","",""
"371","","",""
"387","","",""
"369","","",""
"389","","",""
"389","","",""
"371","","",""
"381","","",""
"362","","",""
"367","","",""
"395","","",""
"370","","",""
"385","","",""
"364","","",""
"375","","",""
"362","","",""
"371","","",""
"367","","",""
"380","","",""
"359","","",""
"378","","",""
"374","","",""
"380","","",""
"385","","",""
"385","","",""
"368","","",""
"385","","",""
"391","","",""
"355","","",""
